# [first region,    last region]    material    visible   r       g       b      alpha
# ------------------------------------------------------------------------------------
  100   100  Adrenal                                                        true    0.191  0.800  0.300  1.000
  200   200  Adrenal                                                        true    0.191  0.800  0.300  1.000
  300   300  ET+Trachea+BB+bb+Gall_bladder_wall+Pituitary_gland+...         true    0.191  0.800  0.300  1.000
  301   301  ET+Trachea+BB+bb+Gall_bladder_wall+Pituitary_gland+...         true    0.878  0.792  0.184  1.000
  302   302  ET+Trachea+BB+bb+Gall_bladder_wall+Pituitary_gland+...         true    0.800  0.190  0.190  1.000
  303   303  ET+Trachea+BB+bb+Gall_bladder_wall+Pituitary_gland+...         true    0.878  0.792  0.184  1.000
  400   400  Water                                                          true    0.361  0.627  0.616  1.000
  401   401  ET+Trachea+BB+bb+Gall_bladder_wall+Pituitary_gland+...         true    0.191  0.800  0.300  1.000
  402   402  ET+Trachea+BB+bb+Gall_bladder_wall+Pituitary_gland+...         true    0.800  0.190  0.190  1.000
  403   403  ET+Trachea+BB+bb+Gall_bladder_wall+Pituitary_gland+...         true    0.361  0.627  0.616  1.000
  404   404  ET+Trachea+BB+bb+Gall_bladder_wall+Pituitary_gland+...         true    0.800  0.190  0.190  1.000
  405   405  ET+Trachea+BB+bb+Gall_bladder_wall+Pituitary_gland+...         true    0.878  0.792  0.184  1.000
  500   500  Oral_mucosa+Tongue                                             true    0.800  0.190  0.190  1.000
  501   501  Oral_mucosa+Tongue                                             true    0.800  0.190  0.190  1.000
  600   600  Oral_mucosa+Tongue                                             true    0.800  0.190  0.190  1.000
  700   700  ET+Trachea+BB+bb+Gall_bladder_wall+Pituitary_gland+...         true    0.878  0.792  0.184  1.000
  800   800  Water                                                          true    0.800  0.190  0.190  1.000
  801   801  ET+Trachea+BB+bb+Gall_bladder_wall+Pituitary_gland+...         true    0.800  0.190  0.190  1.000
  802   802  ET+Trachea+BB+bb+Gall_bladder_wall+Pituitary_gland+...         true    0.800  0.190  0.190  1.000
  803   803  ET+Trachea+BB+bb+Gall_bladder_wall+Pituitary_gland+...         true    0.800  0.190  0.190  1.000
  804   804  ET+Trachea+BB+bb+Gall_bladder_wall+Pituitary_gland+...         true    0.800  0.190  0.190  1.000
  805   805  ET+Trachea+BB+bb+Gall_bladder_wall+Pituitary_gland+...         true    0.800  0.190  0.190  1.000
  806   806  ET+Trachea+BB+bb+Gall_bladder_wall+Pituitary_gland+...         true    0.800  0.190  0.190  1.000
  807   807  ET+Trachea+BB+bb+Gall_bladder_wall+Pituitary_gland+...         true    0.800  0.190  0.190  1.000
  808   808  ET+Trachea+BB+bb+Gall_bladder_wall+Pituitary_gland+...         true    0.191  0.800  0.300  1.000
  900   900  Blood                                                          true    0.800  0.190  0.190  1.000
  910   910  Blood                                                          true    0.200  0.400  0.808  1.000
 1000  1000  Blood                                                          true    0.800  0.190  0.190  1.000
 1010  1010  Blood                                                          true    0.200  0.400  0.808  1.000
 1100  1100  Blood                                                          true    0.800  0.190  0.190  1.000
 1110  1110  Blood                                                          true    0.200  0.400  0.808  1.000
 1200  1200  Blood                                                          true    0.800  0.190  0.190  1.000
 1210  1210  Blood                                                          true    0.200  0.400  0.808  1.000
 1300  1300  Cortical_bone                                                  true    1.000  1.000  1.000  1.000
 1400  1400  Humeri+upper+spongiosa                                         true    0.800  0.190  0.190  1.000
 1500  1500  Medullary_cavity                                               true    0.369  0.369  0.400  1.000
 1600  1600  Cortical_bone                                                  true    1.000  1.000  1.000  1.000
 1700  1700  Humeri+lower+Ulnae_and_radii+Wrists_and_hand_bones+Femora+...  true    0.800  0.190  0.190  1.000
 1800  1800  Medullary_cavity                                               true    0.369  0.369  0.400  1.000
 1900  1900  Cortical_bone                                                  true    1.000  1.000  1.000  1.000
 2000  2000  Humeri+lower+Ulnae_and_radii+Wrists_and_hand_bones+Femora+...  true    0.800  0.190  0.190  1.000
 2100  2100  Medullary_cavity                                               true    0.369  0.369  0.400  1.000
 2200  2200  Cortical_bone                                                  true    1.000  1.000  1.000  1.000
 2300  2300  Humeri+lower+Ulnae_and_radii+Wrists_and_hand_bones+Femora+...  true    0.800  0.190  0.190  1.000
 2400  2400  Cortical_bone                                                  true    1.000  1.000  1.000  1.000
 2500  2500  Clavicles+spongiosa                                            true    0.800  0.190  0.190  1.000
 2600  2600  Cortical_bone                                                  true    1.000  1.000  1.000  1.000
 2700  2700  Cranium+spongiosa                                              true    0.800  0.190  0.190  1.000
 2800  2800  Cortical_bone                                                  true    1.000  1.000  1.000  1.000
 2900  2900  Femora+upper+spongiosa                                         true    0.800  0.190  0.190  1.000
 3000  3000  Medullary_cavity                                               true    0.369  0.369  0.400  1.000
 3100  3100  Cortical_bone                                                  true    1.000  1.000  1.000  1.000
 3200  3200  Humeri+lower+Ulnae_and_radii+Wrists_and_hand_bones+Femora+...  true    0.800  0.190  0.190  1.000
 3300  3300  Medullary_cavity                                               true    0.369  0.369  0.400  1.000
 3400  3400  Cortical_bone                                                  true    1.000  1.000  1.000  1.000
 3500  3500  Humeri+lower+Ulnae_and_radii+Wrists_and_hand_bones+Femora+...  true    0.800  0.190  0.190  1.000
 3600  3600  Medullary_cavity                                               true    0.369  0.369  0.400  1.000
 3700  3700  Cortical_bone                                                  true    1.000  1.000  1.000  1.000
 3800  3800  Humeri+lower+Ulnae_and_radii+Wrists_and_hand_bones+Femora+...  true    0.800  0.190  0.190  1.000
 3900  3900  Cortical_bone                                                  true    1.000  1.000  1.000  1.000
 4000  4000  Mandible+spongiosa                                             true    0.800  0.190  0.190  1.000
 4100  4100  Cortical_bone                                                  true    1.000  1.000  1.000  1.000
 4200  4200  Pelvis+spongiosa                                               true    0.800  0.190  0.190  1.000
 4300  4300  Cortical_bone                                                  true    1.000  1.000  1.000  1.000
 4400  4400  Ribs+spongiosa                                                 true    0.800  0.190  0.190  1.000
 4500  4500  Cortical_bone                                                  true    1.000  1.000  1.000  1.000
